en,zh
Unknown,未知
Male,男性
Female,女性
White,白人
Black,黑人
African American,非裔美国人
American Indian,美洲印第安人
Asian,亚洲人
Pacific Islander,太平洋岛民
Other,其他
Hispanic,西班牙裔
Latino,拉丁裔
Mexican,墨西哥人
Puerto Rican,波多黎各人
Cuban,古巴人
One,一
Two,二
Three,三
Four,四
Five,五
Six,六
Seven,七
Eight,八
Nine,九
Ten,十
Eleven,十一
Twelve,十二
Thirteen,十三
Fourteen,十四
Fifteen,十五
Sixteen,十六
Seventeen,十七
Eighteen,十八
Nineteen,十九
Twenty,二十
Thirty,三十
Forty,四十
Fifty,五十
Sixty,六十
Seventy,七十
Eighty,八十
Ninety,九十
Hundred,一百
January,一月
February,二月
March,三月
April,四月
May,五月
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
Monday,星期一
Tuesday,星期二
Wednesday,星期三
Thursday,星期四
Friday,星期五
Saturday,星期六
Sunday,星期日

